n_frag,method,precision,recall,f1,ari,exact_slip,clean_fragments,same_slip_precision,cross_slip_rate,solve_s,top1,top50,precision_sd,recall_sd,f1_sd,ari_sd,exact_slip_sd,clean_fragments_sd,same_slip_precision_sd,cross_slip_rate_sd,n_seeds
1200,expert_top5,1.0,0.7397260273972602,0.8503937007874016,0.4715994901174522,0.6349693251533742,0.7158333333333333,1.0,0.0,0.0,0.5185909980430529,0.9393346379647748,,,,,,,,,1
1200,expert_top50,1.0,0.9393346379647748,0.968718466195762,0.6054619271037108,0.9079754601226994,0.9283333333333332,1.0,0.0,0.0,0.5185909980430529,0.9393346379647748,,,,,,,,,1
1200,latent,0.6132686084142395,0.7416829745596869,0.671390611160319,0.6670498673743107,0.3374233128834356,0.3558333333333333,0.8851132686084142,0.1148867313915857,117.3084397315979,0.5185909980430529,0.9393346379647748,,,,,,,,,1
1200,matching,0.2986536107711138,0.4774951076320939,0.3674698795180722,0.194506342417447,0.0398773006134969,0.0708333333333333,0.3990208078335373,0.6009791921664627,0.23771333694458,0.5185909980430529,0.9393346379647748,,,,,,,,,1
1200,mutual,0.3779661016949152,0.436399217221135,0.405086285195277,0.2655480127059913,0.1319018404907975,0.18,0.5,0.5,0.0,0.5185909980430529,0.9393346379647748,,,,,,,,,1
1200,top1,0.2208333333333333,0.5185909980430529,0.3097603740502629,0.0943942091220937,0.058282208588957,0.0858333333333333,0.2966666666666667,0.7033333333333334,0.0,0.5185909980430529,0.9393346379647748,,,,,,,,,1
2506,expert_top1,1.0,0.4167497507477567,0.5883180858550316,0.2570861230141492,0.3225331369661267,0.5127693535514765,1.0,0.0,0.0,0.4167497507477567,0.901296111665005,,,,,,,,,1
2506,expert_top10,1.0,0.7298105682951147,0.8438040345821326,0.4620797355558319,0.6494845360824743,0.7306464485235435,1.0,0.0,0.0,0.4167497507477567,0.901296111665005,,,,,,,,,1
2506,expert_top5,1.0,0.6251246261216351,0.7693251533742332,0.3953704848802498,0.5390279823269514,0.6548284118116521,1.0,0.0,0.0,0.4167497507477567,0.901296111665005,,,,,,,,,1
2506,expert_top50,1.0,0.901296111665005,0.9480859989512322,0.5782269671811572,0.8586156111929307,0.8914604948124502,1.0,0.0,0.0,0.4167497507477567,0.901296111665005,,,,,,,,,1
2506,latent,0.5346613545816733,0.6689930209371885,0.5943312666076174,0.561988242440764,0.3254786450662739,0.3375897845171588,0.7760956175298804,0.2239043824701195,913.3198809623718,0.4167497507477567,0.901296111665005,,,,,,,,,1
2506,matching,0.2088414634146341,0.4097706879361914,0.2766745203635139,0.1125407698546024,0.0147275405007363,0.0251396648044692,0.2779471544715447,0.7220528455284553,1.7130951881408691,0.4167497507477567,0.901296111665005,,,,,,,,,1
2506,mutual,0.2941680960548885,0.3419740777666999,0.3162747810050714,0.1941292077058691,0.0839469808541973,0.1656025538707103,0.3850771869639794,0.6149228130360206,0.0,0.4167497507477567,0.901296111665005,,,,,,,,,1
2506,top1,0.1667996807661612,0.4167497507477567,0.2382445141065831,0.076675533465823,0.0500736377025036,0.1073423782920989,0.2214684756584198,0.7785315243415802,0.0,0.4167497507477567,0.901296111665005,,,,,,,,,1
2543,expert_top1,1.0,0.4109461966604824,0.5825115055884287,0.2802108857172747,0.2899850523168908,0.484073928430987,1.0,0.0,0.0,0.4109461966604824,0.885899814471243,,,,,,,,,1
2543,expert_top10,1.0,0.7244897959183674,0.8402366863905326,0.4859834024824451,0.6278026905829597,0.7101848210774676,1.0,0.0,0.0,0.4109461966604824,0.885899814471243,,,,,,,,,1
