state,seed,method,theta,n_frag,top1,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
P2,1,full,-0.6190392084062235,732,0.9209621993127147,OPTIMAL,0.6117136659436009,0.9690721649484536,0.75,0.3737864077669903,0.35382513661202186,461,291,0.8935634328335015,0.9631236442516269,17,0.03687635574837311
P2,1,full,0.0,732,0.9209621993127147,OPTIMAL,0.6222222222222222,0.9621993127147767,0.7557354925775978,0.4029126213592233,0.3756830601092896,450,291,0.8755759168127389,0.9644444444444444,16,0.03555555555555556
P2,1,full,0.8472978603872034,732,0.9209621993127147,OPTIMAL,0.6297968397291196,0.9587628865979382,0.7602179836512263,0.4174757281553398,0.3907103825136612,443,291,0.8682931393510218,0.9683972911963883,14,0.03160270880361171
P2,1,full,1.7346010553881064,732,0.9209621993127147,OPTIMAL,0.6448598130841121,0.9484536082474226,0.7677329624478443,0.42718446601941745,0.4098360655737705,428,291,0.8507958918280291,0.9766355140186916,10,0.02336448598130836
P2,1,full,2.9444389791664394,732,0.9209621993127147,OPTIMAL,0.657074340527578,0.9415807560137457,0.7740112994350281,0.441747572815534,0.42896174863387976,417,291,0.8387156916783457,0.9784172661870504,9,0.021582733812949617
P2,1,full,4.595119850134589,732,0.9209621993127147,OPTIMAL,0.6835106382978723,0.8831615120274914,0.7706146926536731,0.47572815533980584,0.47950819672131145,376,291,0.7869691927737219,0.9920212765957447,3,0.007978723404255317
P2,1,full,5.806138481293727,732,0.9209621993127147,OPTIMAL,0.6942857142857143,0.8350515463917526,0.7581903276131046,0.470873786407767,0.4890710382513661,350,291,0.7470180190025183,1.0,0,0.0
P2,1,latent,-1.3862943611198906,732,0.9209621993127147,OPTIMAL,0.6272321428571429,0.9656357388316151,0.7604871447902571,0.39805825242718446,0.3797814207650273,448,291,0.8931683931991775,0.9754464285714286,11,0.024553571428571397
P2,1,latent,-0.6190392084062235,732,0.9209621993127147,OPTIMAL,0.6453089244851259,0.9690721649484536,0.7747252747252747,0.4223300970873786,0.40437158469945356,437,291,0.8894246937145053,0.9862700228832952,6,0.013729977116704761
P2,1,latent,0.0,732,0.9209621993127147,OPTIMAL,0.6496519721577726,0.9621993127147767,0.775623268698061,0.42718446601941745,0.41530054644808745,431,291,0.8825913552893004,0.988399071925754,5,0.011600928074245953
P2,1,latent,0.8472978603872034,732,0.9209621993127147,OPTIMAL,0.6587677725118484,0.9553264604810997,0.7798036465638148,0.44660194174757284,0.43306010928961747,422,291,0.8656965035661393,0.9928909952606635,3,0.007109004739336511
P2,1,latent,1.7346010553881064,732,0.9209621993127147,OPTIMAL,0.6674876847290641,0.9312714776632303,0.7776183644189383,0.4563106796116505,0.45081967213114754,406,291,0.8429739380325343,0.9950738916256158,2,0.0049261083743842304
P2,1,latent,2.9444389791664394,732,0.9209621993127147,OPTIMAL,0.6796875,0.8969072164948454,0.7733333333333333,0.46116504854368934,0.4713114754098361,384,291,0.8074494608243614,0.9947916666666666,2,0.00520833333333337
