idx,ari,f1,exact,top1,face_loss_mm,pullout_mean_mm,face_texture_noise,p_gap,p_fragment_lost,breaks_per_slip,hand_accuracy,notch_sigma_mm,notch_tol_mm,width_tol_mm
69,0.7648356347420437,0.8043956043956043,0.45081967213114754,0.867579908675799,0.9577847131527961,1.2909483655355871,0.22758317831903696,0.3161002901382744,0.09662405281327666,3.129447439685464,0.9564842782914638,0.4967583149671555,11.16600539535284,0.8681789278984069
70,0.7595063605404104,0.7911111111111111,0.45081967213114754,0.867579908675799,0.9577847131527961,1.2909483655355871,0.22758317831903696,0.3161002901382744,0.09662405281327666,3.129447439685464,0.9564842782914638,0.4967583149671555,11.429149456322193,0.8627498638816178
71,0.7577817298019957,0.8114035087719298,0.4608695652173913,0.9300411522633745,0.41632454227656124,1.572372897202149,0.12650262443348764,0.1632329011335969,0.026446947054937484,2.5986124006099995,0.7047471144795417,1.1917118933051825,11.16600539535284,0.8627498638816178
72,0.501752672074902,0.5647840531561461,0.21359223300970873,0.6233766233766234,0.36450536279007795,1.09785373006016,0.575577711360529,0.5312128789722919,0.051663127532228834,2.6753543597646057,0.5712259727716446,0.6273654236458241,15.500663705170155,0.6718739340081811
73,0.4532430872331087,0.5034013605442177,0.22330097087378642,0.5324675324675324,0.6952742714434862,1.09785373006016,0.575577711360529,0.5312128789722919,0.051663127532228834,2.6753543597646057,0.5712259727716446,0.6273654236458241,15.500663705170155,0.6718739340081811
74,0.5304389041149252,0.5493827160493827,0.22330097087378642,0.6883116883116883,0.36450536279007795,1.441118440637365,0.575577711360529,0.5312128789722919,0.051663127532228834,2.6753543597646057,0.5712259727716446,0.6273654236458241,15.500663705170155,0.6718739340081811
75,0.49349829666741246,0.54,0.20388349514563106,0.6103896103896104,0.36450536279007795,1.09785373006016,0.5786306784488261,0.5312128789722919,0.051663127532228834,2.6753543597646057,0.5712259727716446,0.6273654236458241,15.500663705170155,0.6718739340081811
76,0.4867717162918033,0.5256797583081572,0.20909090909090908,0.5964912280701754,0.36450536279007795,1.09785373006016,0.575577711360529,0.47598513881675897,0.051663127532228834,2.6753543597646057,0.5712259727716446,0.6273654236458241,15.500663705170155,0.6718739340081811
77,0.5154229262562701,0.5904059040590406,0.2903225806451613,0.6496350364963503,0.36450536279007795,1.09785373006016,0.575577711360529,0.5312128789722919,0.126897841244936,2.6753543597646057,0.5712259727716446,0.6273654236458241,15.500663705170155,0.6718739340081811
78,0.6372160370800694,0.5280898876404494,0.3709677419354839,0.6625,0.36450536279007795,1.09785373006016,0.575577711360529,0.5312128789722919,0.051663127532228834,1.363785111438483,0.5712259727716446,0.6273654236458241,15.500663705170155,0.6718739340081811
79,0.4745621978355193,0.5255972696245733,0.22330097087378642,0.6038961038961039,0.36450536279007795,1.09785373006016,0.575577711360529,0.5312128789722919,0.051663127532228834,2.6753543597646057,0.5040322622656822,0.6273654236458241,15.500663705170155,0.6718739340081811
80,0.49285791778327187,0.5637583892617449,0.23300970873786409,0.6233766233766234,0.36450536279007795,1.09785373006016,0.575577711360529,0.5312128789722919,0.051663127532228834,2.6753543597646057,0.5712259727716446,0.8334196670912206,15.500663705170155,0.6718739340081811
81,0.5120179955514192,0.5647840531561461,0.23300970873786409,0.6233766233766234,0.36450536279007795,1.09785373006016,0.575577711360529,0.5312128789722919,0.051663127532228834,2.6753543597646057,0.5712259727716446,0.6273654236458241,13.071824088692665,0.6718739340081811
82,0.42062154783092637,0.5107913669064749,0.22330097087378642,0.6233766233766234,0.36450536279007795,1.09785373006016,0.575577711360529,0.5312128789722919,0.051663127532228834,2.6753543597646057,0.5712259727716446,0.6273654236458241,15.500663705170155,0.2574669563211501
83,0.5878395924046855,0.6308724832214765,0.43636363636363634,0.7236842105263158,0.6952742714434862,1.441118440637365,0.5786306784488261,0.47598513881675897,0.126897841244936,1.363785111438483,0.5040322622656822,0.8334196670912206,13.071824088692665,0.2574669563211501
84,0.7480243143133344,0.8425925925925927,0.6388888888888888,0.8813559322033898,1.6941040836274623,1.6057028300594538,0.1531706071924418,0.15308295870199798,0.20830516363494098,1.9991576804779467,0.8388749553263187,1.3115238009020687,27.011711440980434,0.35539708137512205
85,0.75139820392139,0.8425925925925927,0.6527777777777778,0.8813559322033898,1.7499758343212306,1.6057028300594538,0.1531706071924418,0.15308295870199798,0.20830516363494098,1.9991576804779467,0.8388749553263187,1.3115238009020687,27.011711440980434,0.35539708137512205
86,0.7692156140717096,0.8416289592760181,0.6527777777777778,0.9067796610169492,1.6941040836274623,0.911383593082428,0.1531706071924418,0.15308295870199798,0.20830516363494098,1.9991576804779467,0.8388749553263187,1.3115238009020687,27.011711440980434,0.35539708137512205
87,0.6871463241208765,0.8093023255813954,0.5972222222222222,0.7796610169491526,1.6941040836274623,1.6057028300594538,0.2663728881627321,0.15308295870199798,0.20830516363494098,1.9991576804779467,0.8388749553263187,1.3115238009020687,27.011711440980434,0.35539708137512205
88,0.7062557594631271,0.7575757575757575,0.5223880597014925,0.845360824742268,1.6941040836274623,1.6057028300594538,0.1531706071924418,0.3570294338744133,0.20830516363494098,1.9991576804779467,0.8388749553263187,1.3115238009020687,27.011711440980434,0.35539708137512205
89,0.7407169207236333,0.8416666666666667,0.6075949367088608,0.8721804511278195,1.6941040836274623,1.6057028300594538,0.1531706071924418,0.15308295870199798,0.18632150327786803,1.9991576804779467,0.8388749553263187,1.3115238009020687,27.011711440980434,0.35539708137512205
90,0.6572486370411396,0.8154761904761904,0.55,0.8287292817679558,1.6941040836274623,1.6057028300594538,0.1531706071924418,0.15308295870199798,0.20830516363494098,3.0081133471801875,0.8388749553263187,1.3115238009020687,27.011711440980434,0.35539708137512205
91,0.7453012348106474,0.8317757009345795,0.6111111111111112,0.8813559322033898,1.6941040836274623,1.6057028300594538,0.1531706071924418,0.15308295870199798,0.20830516363494098,1.9991576804779467,0.8964525844156742,1.3115238009020687,27.011711440980434,0.35539708137512205
92,0.7343464492111053,0.8317757009345795,0.625,0.8813559322033898,1.6941040836274623,1.6057028300594538,0.1531706071924418,0.15308295870199798,0.20830516363494098,1.9991576804779467,0.8388749553263187,1.1687011417932809,27.011711440980434,0.35539708137512205
93,0.7473573594038153,0.8465116279069769,0.6527777777777778,0.8813559322033898,1.6941040836274623,1.6057028300594538,0.1531706071924418,0.15308295870199798,0.20830516363494098,1.9991576804779467,0.8388749553263187,1.3115238009020687,20.464132256805897,0.35539708137512205
