tag,state,seed,n_frag,n_true_joins,top1,top5,top50,coherence,method,theta,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,theta_at_edge,n_arcs
main,P2,2,1105,457,0.8840262582056893,0.9803063457330415,0.9978118161925602,0.6039387308533917,matching,5.806138481293727,0.12239694595336914,OPTIMAL,0.6351351351351351,0.8227571115973742,0.7168732125834127,0.3674911660777385,0.36742081447963804,592,457,0.5905419690800106,0.8226351351351351,105,0.1773648648648649,False,742.0
main,P2,2,1105,457,0.8840262582056893,0.9803063457330415,0.9978118161925602,0.6039387308533917,morph,4.595119850134589,0.08508825302124023,OPTIMAL,0.7415730337078652,0.8665207877461707,0.7991927346115035,0.5406360424028268,0.5321266968325792,534,457,0.7256490575345809,0.9644194756554307,19,0.035580524344569264,False,550.0
main,P2,2,1105,457,0.8840262582056893,0.9803063457330415,0.9978118161925602,0.6039387308533917,length,-0.8472978603872036,0.5703072547912598,OPTIMAL,0.658284023668639,0.973741794310722,0.7855251544571932,0.5406360424028268,0.47420814479638007,676,457,0.8401303793166669,0.9171597633136095,56,0.08284023668639051,False,1587.0
main,P2,2,1105,457,0.8840262582056893,0.9803063457330415,0.9978118161925602,0.6039387308533917,full,0.0,2.062345504760742,OPTIMAL,0.676923076923077,0.962800875273523,0.7949412827461608,0.568904593639576,0.5085972850678733,650,457,0.8777990259171862,0.9538461538461539,30,0.0461538461538461,False,1195.0
main,P2,2,1105,457,0.8840262582056893,0.9803063457330415,0.9978118161925602,0.6039387308533917,latent,-2.197224577336219,176.63273406028748,OPTIMAL,0.6778625954198473,0.9715536105032823,0.7985611510791366,0.5724381625441696,0.5049773755656108,655,457,0.9004741460758685,0.9603053435114504,26,0.03969465648854964,True,2463.0
main,P2,3,1121,473,0.8985200845665962,0.9619450317124736,0.9978858350951374,0.6046511627906976,top1,,0.0,-,0.3794642857142857,0.8985200845665962,0.5335844318895165,0.12121212121212122,0.11864406779661017,1120,473,0.20038388778105054,0.5142857142857142,544,0.48571428571428577,,
main,P2,3,1121,473,0.8985200845665962,0.9619450317124736,0.9978858350951374,0.6046511627906976,mutual,,0.0,-,0.569060773480663,0.8710359408033826,0.6883876357560568,0.20875420875420875,0.2247992863514719,724,473,0.543174414709789,0.755524861878453,177,0.24447513812154698,,
main,P2,3,1121,473,0.8985200845665962,0.9619450317124736,0.9978858350951374,0.6046511627906976,matching,5.806138481293727,0.048125267028808594,OPTIMAL,0.6294498381877023,0.8224101479915433,0.7131072410632447,0.3265993265993266,0.3416592328278323,618,473,0.6141096027704394,0.8284789644012945,106,0.17152103559870546,False,801.0
main,P2,3,1121,473,0.8985200845665962,0.9619450317124736,0.9978858350951374,0.6046511627906976,morph,4.595119850134589,0.0585482120513916,OPTIMAL,0.7210144927536232,0.8414376321353065,0.7765853658536586,0.48148148148148145,0.47992863514719003,552,473,0.7397399543152865,0.9728260869565217,15,0.02717391304347827,False,562.0
main,P2,3,1121,473,0.8985200845665962,0.9619450317124736,0.9978858350951374,0.6046511627906976,length,-0.8472978603872036,0.7742652893066406,OPTIMAL,0.6593567251461988,0.9534883720930233,0.7796024200518583,0.4612794612794613,0.42194469223907227,684,473,0.8467275274868956,0.9298245614035088,48,0.07017543859649122,False,1556.0
main,P2,3,1121,473,0.8985200845665962,0.9619450317124736,0.9978858350951374,0.6046511627906976,full,0.0,2.4266984462738037,OPTIMAL,0.6755952380952381,0.959830866807611,0.7930131004366812,0.4882154882154882,0.45316681534344333,672,473,0.8789685478277119,0.9568452380952381,29,0.04315476190476186,False,1211.0
main,P2,3,1121,473,0.8985200845665962,0.9619450317124736,0.9978858350951374,0.6046511627906976,latent,-2.197224577336219,80.01573419570923,OPTIMAL,0.6799410029498525,0.9746300211416491,0.8010425716768028,0.5151515151515151,0.4727921498661909,678,473,0.9094323984258413,0.967551622418879,22,0.03244837758112096,True,2392.0
main,P2,4,1182,529,0.8676748582230623,0.9621928166351607,0.998109640831758,0.6181474480151229,top1,,0.0,-,0.3883248730964467,0.8676748582230623,0.5365283459964932,0.14420062695924765,0.14382402707275804,1182,529,0.23298780547646827,0.5152284263959391,573,0.48477157360406087,,
main,P2,4,1182,529,0.8676748582230623,0.9621928166351607,0.998109640831758,0.6181474480151229,mutual,,0.0,-,0.5678524374176548,0.8147448015122873,0.6692546583850931,0.2225705329153605,0.2233502538071066,759,529,0.5035352154726408,0.7404479578392622,197,0.2595520421607378,,
main,P2,4,1182,529,0.8676748582230623,0.9621928166351607,0.998109640831758,0.6181474480151229,matching,5.806138481293727,0.06313061714172363,OPTIMAL,0.6251944012441679,0.7599243856332704,0.6860068259385667,0.30407523510971785,0.32656514382402707,643,529,0.5558480839835727,0.80248833592535,127,0.19751166407465004,False,845.0
main,P2,4,1182,529,0.8676748582230623,0.9621928166351607,0.998109640831758,0.6181474480151229,morph,4.595119850134589,0.06367015838623047,OPTIMAL,0.7443868739205527,0.8147448015122873,0.7779783393501806,0.4482758620689655,0.4576988155668359,579,529,0.7029786076427946,0.9637305699481865,21,0.03626943005181349,False,596.0
main,P2,4,1182,529,0.8676748582230623,0.9621928166351607,0.998109640831758,0.6181474480151229,length,-0.8472978603872036,0.643571138381958,OPTIMAL,0.6811989100817438,0.945179584120983,0.7917656373713381,0.4670846394984326,0.434010152284264,734,529,0.8137661930863814,0.9196185286103542,59,0.0803814713896458,False,1785.0
main,P2,4,1182,529,0.8676748582230623,0.9621928166351607,0.998109640831758,0.6181474480151229,full,0.0,3.398782253265381,OPTIMAL,0.7005571030640668,0.9508506616257089,0.8067361668003208,0.48589341692789967,0.4619289340101523,718,529,0.8483850136114872,0.9526462395543176,34,0.0473537604456824,False,1346.0
main,P2,4,1182,529,0.8676748582230623,0.9621928166351607,0.998109640831758,0.6181474480151229,latent,-2.197224577336219,180.29780220985413,FEASIBLE,0.7023319615912208,0.9678638941398866,0.8139904610492846,0.5141065830721003,0.4754653130287648,729,529,0.8700759799858595,0.9561042524005487,32,0.04389574759945125,True,2765.0
main,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,top1,,0.0,-,0.32916666666666666,0.7729941291585127,0.46171829339567505,0.07975460122699386,0.11916666666666667,1200,511,0.16131473699646434,0.45166666666666666,658,0.5483333333333333,,
main,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,mutual,,0.0,-,0.5069444444444444,0.7142857142857143,0.5930138099106418,0.17791411042944785,0.20083333333333334,720,511,0.4154431151817763,0.6708333333333333,237,0.3291666666666667,,
main,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,matching,5.806138481293727,0.05984020233154297,OPTIMAL,0.5320417287630402,0.6986301369863014,0.6040609137055838,0.19938650306748465,0.23083333333333333,671,511,0.4447404969744257,0.6959761549925484,204,0.3040238450074516,False,1061.0
main,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,morph,2.9444389791664394,0.08610010147094727,OPTIMAL,0.6064880112834978,0.8414872798434442,0.7049180327868851,0.3098159509202454,0.30916666666666665,709,511,0.6332223363557167,0.8547249647390691,103,0.14527503526093088,False,869.0
main,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,length,0.8472978603872034,0.8326656818389893,OPTIMAL,0.6232876712328768,0.8904109589041096,0.7332796132151491,0.4049079754601227,0.36833333333333335,730,511,0.7484005325971462,0.8849315068493151,84,0.1150684931506849,False,1586.0
main,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,full,0.8472978603872034,5.2236855030059814,OPTIMAL,0.6477900552486188,0.9178082191780822,0.7595141700404858,0.44785276073619634,0.405,724,511,0.7958386108894704,0.9212707182320442,57,0.0787292817679558,False,1532.0
main,P3,0,1200,511,0.7729941291585127,0.9119373776908023,0.9960861056751468,0.6516634050880626,latent,0.0,180.22163152694702,FEASIBLE,0.6695035460992907,0.923679060665362,0.7763157894736841,0.46932515337423314,0.43666666666666665,705,511,0.833904076822436,0.9602836879432625,28,0.039716312056737535,False,2166.0
