tag,case,seed,n_frag,roll_len_sigma_mm,slips_per_roll,theta,solve_s,status,tol,order,roll,roll_key,notch,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
tol_roll,tol8,0,1158,2.0,30,0.0,180.53262901306152,FEASIBLE,8.0,False,False,unit,True,0.6093247588424437,0.7672064777327935,0.6792114695340502,0.4161073825503356,0.40328151986183075,622,494,0.6948472030797546,0.882636655948553,73,0.117363344051447
tol_roll,tol4,0,1158,2.0,30,0.0,180.66961860656738,FEASIBLE,4.0,False,False,unit,True,0.6111111111111112,0.757085020242915,0.6763110307414105,0.40268456375838924,0.38860103626943004,612,494,0.6841475710710816,0.880718954248366,73,0.11928104575163401
tol_roll,tol2,0,1158,2.0,30,0.0,180.53493762016296,FEASIBLE,2.0,False,False,unit,True,0.6045751633986928,0.7489878542510121,0.6690777576853526,0.39932885906040266,0.38687392055267705,612,494,0.6802496265365823,0.8790849673202614,74,0.12091503267973858
tol_roll,tol4_order,0,1158,2.0,30,0.0,180.37249112129211,FEASIBLE,4.0,True,False,unit,True,0.6223316912972086,0.7672064777327935,0.6872166817769719,0.41946308724832215,0.4015544041450777,609,494,0.6987807162458873,0.9014778325123153,60,0.09852216748768472
tol_roll,no_notch,1,1111,2.0,30,0.0,180.24463605880737,FEASIBLE,16.0,False,False,unit,False,0.6113902847571189,0.8075221238938053,0.6959008579599618,0.41724137931034483,0.40234023402340235,597,452,0.7070973601736003,0.8676716917922948,79,0.13232830820770525
tol_roll,tol16,1,1111,2.0,30,0.0,180.3298864364624,FEASIBLE,16.0,False,False,unit,True,0.647887323943662,0.8141592920353983,0.7215686274509804,0.45517241379310347,0.44374437443744374,568,452,0.7067208704817045,0.903169014084507,55,0.096830985915493
tol_roll,tol8,1,1111,2.0,30,0.0,181.4333279132843,FEASIBLE,8.0,False,False,unit,True,0.6595365418894831,0.8185840707964602,0.7305034550839091,0.4793103448275862,0.45814581458145814,561,452,0.7164567863521335,0.9180035650623886,46,0.08199643493761144
tol_roll,tol4,1,1111,2.0,30,0.0,180.4255793094635,FEASIBLE,4.0,False,False,unit,True,0.6520947176684881,0.7920353982300885,0.7152847152847153,0.4689655172413793,0.45814581458145814,549,452,0.7004064132689883,0.907103825136612,51,0.09289617486338797
tol_roll,tol2,1,1111,2.0,30,0.0,180.26437306404114,FEASIBLE,2.0,False,False,unit,True,0.6495412844036698,0.7831858407079646,0.7101303911735206,0.4689655172413793,0.46354635463546356,545,452,0.6796873611930186,0.9064220183486239,51,0.0935779816513761
tol_roll,tol4_order,1,1111,2.0,30,0.0,180.6525957584381,FEASIBLE,4.0,True,False,unit,True,0.6546112115732369,0.8008849557522124,0.7203980099502487,0.4689655172413793,0.46174617461746176,553,452,0.7017935293028199,0.9095840867992767,50,0.09041591320072329
tol_roll,no_notch,2,1144,2.0,30,0.0,180.32012915611267,FEASIBLE,16.0,False,False,unit,False,0.5847589424572317,0.7849686847599165,0.6702317290552585,0.346031746031746,0.3487762237762238,643,479,0.702815837850592,0.8475894245723172,98,0.15241057542768277
tol_roll,tol16,2,1144,2.0,30,0.0,180.3074493408203,FEASIBLE,16.0,False,False,unit,True,0.629746835443038,0.8308977035490606,0.7164716471647166,0.4031746031746032,0.40297202797202797,632,479,0.7464677669640533,0.8908227848101266,69,0.10917721518987344
tol_roll,tol8,2,1144,2.0,30,0.0,180.42132759094238,FEASIBLE,8.0,False,False,unit,True,0.6445880452342488,0.8329853862212944,0.726775956284153,0.41904761904761906,0.4222027972027972,619,479,0.7565899335969665,0.9079159935379645,57,0.09208400646203552
tol_roll,tol4,2,1144,2.0,30,0.0,180.24665999412537,FEASIBLE,4.0,False,False,unit,True,0.6332794830371568,0.8183716075156576,0.7140255009107468,0.4222222222222222,0.42132867132867136,619,479,0.739835627507376,0.8949919224555735,65,0.10500807754442654
tol_roll,tol2,2,1144,2.0,30,0.0,180.63411474227905,FEASIBLE,2.0,False,False,unit,True,0.6270627062706271,0.7933194154488518,0.7004608294930875,0.39365079365079364,0.3951048951048951,606,479,0.7278774153209331,0.8960396039603961,63,0.10396039603960394
tol_roll,tol4_order,2,1144,2.0,30,0.0,180.25764989852905,FEASIBLE,4.0,True,False,unit,True,0.6332794830371568,0.8183716075156576,0.7140255009107468,0.4158730158730159,0.4152097902097902,619,479,0.7466392076119368,0.8982229402261712,63,0.10177705977382878
