tag,method,seed,n_frag,disperse_sigma_mm,block_mm,unit_known_frac,unit_error_frac,coherence,radius,theta,n_arcs,arc_recall,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
record,context_hard,1,1148,30.0,250.0,0.4,0.0,0.12419700214132762,1,2.9444389791664394,4055,0.715203426124197,180.2366054058075,FEASIBLE,0.4602272727272727,0.5203426124197003,0.48844221105527635,0.2329192546583851,0.2691637630662021,528,467,0.40819060626972864,0.6647727272727273,177,0.3352272727272727
record,context_soft,1,1148,30.0,250.0,0.4,0.0,0.12419700214132762,1,2.9444389791664394,4075,0.7473233404710921,180.3970971107483,FEASIBLE,0.474671669793621,0.5417558886509636,0.506,0.2391304347826087,0.2778745644599303,533,467,0.42168306402533284,0.6735459662288931,174,0.32645403377110693
record,context_hard,2,1105,30.0,250.0,0.4,0.0,0.08971553610503283,1,2.9444389791664394,4046,0.7352297592997812,180.2509355545044,FEASIBLE,0.5040983606557377,0.5382932166301969,0.5206349206349207,0.2756183745583039,0.3158371040723982,488,457,0.4431653101421146,0.6864754098360656,153,0.3135245901639344
record,context_soft,2,1105,30.0,250.0,0.4,0.0,0.08971553610503283,1,2.9444389791664394,4055,0.7724288840262582,180.26655912399292,FEASIBLE,0.5230460921843687,0.5711159737417943,0.5460251046025105,0.28975265017667845,0.33122171945701356,499,457,0.4594279453904479,0.7074148296593187,146,0.2925851703406813
record,context_hard,0,1200,30.0,250.0,0.7,0.2,0.20156555772994128,2,0.8472978603872034,11318,0.6810176125244618,180.52585196495056,FEASIBLE,0.42327150084317033,0.4911937377690802,0.45471014492753625,0.1656441717791411,0.20083333333333334,593,511,0.37870407317862975,0.6037099494097807,235,0.39629005059021927
record,context_soft,0,1200,30.0,250.0,0.7,0.2,0.20156555772994128,2,1.7346010553881064,7290,0.8336594911937377,180.31686210632324,FEASIBLE,0.5007974481658692,0.6144814090019569,0.5518453427065027,0.254601226993865,0.26,627,511,0.4850185003939123,0.6921850079744817,193,0.3078149920255183
record,context_hard,1,1148,30.0,250.0,0.7,0.2,0.23554603854389722,2,0.8472978603872034,9800,0.7194860813704497,182.55402088165283,FEASIBLE,0.4067796610169492,0.35974304068522484,0.38181818181818183,0.18322981366459629,0.26742160278745647,413,467,0.26623816188670396,0.5520581113801453,185,0.44794188861985473
record,context_soft,1,1148,30.0,250.0,0.7,0.2,0.23554603854389722,2,1.7346010553881064,6152,0.8244111349036403,187.26497149467468,FEASIBLE,0.49894736842105264,0.5074946466809421,0.5031847133757961,0.2732919254658385,0.3074912891986063,475,467,0.4051300509586151,0.7115789473684211,137,0.2884210526315789
record,context_hard,2,1105,30.0,250.0,0.7,0.2,0.17067833698030635,2,0.8472978603872034,8978,0.6477024070021882,181.8190107345581,FEASIBLE,0.34328358208955223,0.30196936542669583,0.3213038416763679,0.09187279151943463,0.20633484162895926,402,457,0.25483889439824736,0.5074626865671642,198,0.4925373134328358
record,context_soft,2,1105,30.0,250.0,0.7,0.2,0.17067833698030635,2,1.7346010553881064,5800,0.8446389496717724,183.55553150177002,FEASIBLE,0.5141843971631206,0.6345733041575492,0.5680705190989226,0.29328621908127206,0.3013574660633484,564,457,0.5077751888822719,0.7056737588652482,166,0.2943262411347518
