state,seed,n_frag,top1,top50,method,theta,solve_s,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,n_arcs,status
P2,1,1148,0.9143468950749465,1.0,loop,4.595119850134589,0.012116432189941406,0.534516765285996,0.5802997858672377,0.5564681724845996,0.2577639751552795,0.2865853658536585,507,467,0.4425791327337281,0.7435897435897436,130,0.2564102564102564,1338.0,
P2,1,1148,0.9143468950749465,1.0,path,4.595119850134589,0.426837682723999,0.5865168539325842,0.5588865096359743,0.5723684210526316,0.46273291925465837,0.3693379790940767,445,467,0.3653327141667775,0.7932584269662921,92,0.20674157303370788,1338.0,
P2,1,1148,0.9143468950749465,1.0,bipartite,4.595119850134589,0.022779226303100586,0.5291828793774319,0.8736616702355461,0.6591276252019386,0.22981366459627328,0.2229965156794425,771,467,0.4939518124275961,0.74189364461738,199,0.25810635538261995,1338.0,
P2,1,1148,0.9143468950749465,1.0,constrained,2.9444389791664394,44.4197359085083,0.7019064124783362,0.867237687366167,0.7758620689655172,0.484472049689441,0.5,577,467,0.7803747437317347,0.9896013864818024,6,0.010398613518197597,717.0,OPTIMAL
P2,2,1105,0.8840262582056893,0.9978118161925602,top1,,0.0,0.36561085972850677,0.8840262582056893,0.5172855313700383,0.13780918727915195,0.15475113122171946,1105,457,0.18452126287439619,0.49411764705882355,559,0.5058823529411764,,
P2,2,1105,0.8840262582056893,0.9978118161925602,mutual,,0.0,0.5652173913043478,0.8533916849015317,0.6800348735832608,0.2508833922261484,0.26063348416289595,690,457,0.5122071672165396,0.7420289855072464,178,0.2579710144927536,,
P2,2,1105,0.8840262582056893,0.9978118161925602,greedy,4.595119850134589,0.0005984306335449219,0.5543175487465181,0.8708971553610503,0.6774468085106383,0.2332155477031802,0.22895927601809954,718,457,0.5110266412142341,0.7311977715877437,193,0.2688022284122563,1237.0,
P2,2,1105,0.8840262582056893,0.9978118161925602,loop,4.595119850134589,0.01791214942932129,0.558282208588957,0.5973741794310722,0.5771670190274841,0.254416961130742,0.3031674208144796,489,457,0.4644686469115288,0.7341513292433538,130,0.2658486707566462,1237.0,
P2,2,1105,0.8840262582056893,0.9978118161925602,path,4.595119850134589,0.41757631301879883,0.5910165484633569,0.5470459518599562,0.5681818181818181,0.392226148409894,0.3230769230769231,423,457,0.3848960771439544,0.7943262411347518,87,0.2056737588652482,1237.0,
P2,2,1105,0.8840262582056893,0.9978118161925602,bipartite,4.595119850134589,0.03123188018798828,0.5538674033149171,0.8774617067833698,0.6790855207451313,0.22614840989399293,0.22171945701357465,724,457,0.5134381315851293,0.7320441988950276,194,0.2679558011049724,1237.0,
P2,2,1105,0.8840262582056893,0.9978118161925602,constrained,2.9444389791664394,49.93926501274109,0.7463503649635036,0.8949671772428884,0.8139303482587064,0.5724381625441696,0.56289592760181,548,457,0.8161471309925777,0.9963503649635036,2,0.0036496350364964014,656.0,OPTIMAL
P3,0,1200,0.7729941291585127,0.9960861056751468,top1,,0.0,0.32916666666666666,0.7729941291585127,0.46171829339567505,0.07975460122699386,0.11916666666666667,1200,511,0.16131473699646434,0.45166666666666666,658,0.5483333333333333,,
P3,0,1200,0.7729941291585127,0.9960861056751468,mutual,,0.0,0.5069444444444444,0.7142857142857143,0.5930138099106418,0.17791411042944785,0.20083333333333334,720,511,0.4154431151817763,0.6708333333333333,237,0.3291666666666667,,
P3,0,1200,0.7729941291585127,0.9960861056751468,greedy,5.806138481293727,0.0006628036499023438,0.5377643504531722,0.6966731898238747,0.6069906223358909,0.20245398773006135,0.23833333333333334,662,511,0.45316629567369615,0.7054380664652568,195,0.29456193353474325,1061.0,
P3,0,1200,0.7729941291585127,0.9960861056751468,loop,5.806138481293727,0.024532556533813477,0.54673721340388,0.6066536203522505,0.575139146567718,0.21779141104294478,0.26916666666666667,567,511,0.4438203463742762,0.7195767195767195,159,0.28042328042328046,1061.0,
P3,0,1200,0.7729941291585127,0.9960861056751468,path,4.595119850134589,1.0505990982055664,0.497907949790795,0.4657534246575342,0.48129423660262893,0.3282208588957055,0.255,478,511,0.30422455267845944,0.6778242677824268,154,0.32217573221757323,2168.0,
P3,0,1200,0.7729941291585127,0.9960861056751468,bipartite,5.806138481293727,0.03576159477233887,0.5320417287630402,0.6986301369863014,0.6040609137055838,0.19938650306748465,0.23083333333333333,671,511,0.4447404969744257,0.6959761549925484,204,0.3040238450074516,1061.0,
P3,0,1200,0.7729941291585127,0.9960861056751468,constrained,0.8472978603872034,144.45297026634216,0.6795252225519288,0.8962818003913894,0.7729957805907174,0.4815950920245399,0.4558333333333333,674,511,0.8017036801773558,0.956973293768546,29,0.04302670623145399,1586.0,OPTIMAL
P3,1,1148,0.7665952890792291,0.9957173447537473,top1,,0.0,0.3118466898954704,0.7665952890792291,0.443343653250774,0.09006211180124224,0.11585365853658537,1148,467,0.16885725961781858,0.42857142857142855,656,0.5714285714285714,,
P3,1,1148,0.7665952890792291,0.9957173447537473,mutual,,0.0,0.4896142433234421,0.7066381156316917,0.5784399649430324,0.20186335403726707,0.22473867595818817,674,467,0.40370841893741705,0.6513353115727003,235,0.3486646884272997,,
P3,1,1148,0.7665952890792291,0.9957173447537473,greedy,5.806138481293727,0.0005655288696289062,0.512396694214876,0.6638115631691649,0.5783582089552239,0.2360248447204969,0.27177700348432055,605,467,0.4197241652069504,0.6727272727272727,198,0.32727272727272727,938.0,
P3,1,1148,0.7665952890792291,0.9957173447537473,loop,5.806138481293727,0.0363621711730957,0.5304990757855823,0.6145610278372591,0.5694444444444444,0.2577639751552795,0.30052264808362367,541,467,0.43578759891002783,0.6968576709796673,164,0.30314232902033267,938.0,
P3,1,1148,0.7665952890792291,0.9957173447537473,path,4.595119850134589,0.9590272903442383,0.5098468271334792,0.4989293361884368,0.5043290043290042,0.41304347826086957,0.32142857142857145,457,467,0.30838493030073316,0.6564551422319475,157,0.34354485776805255,1915.0,
P3,1,1148,0.7665952890792291,0.9957173447537473,bipartite,5.806138481293727,0.023523330688476562,0.513911620294599,0.6723768736616702,0.5825602968460112,0.2391304347826087,0.2691637630662021,611,467,0.4228341079612384,0.6726677577741408,200,0.3273322422258592,938.0,
P3,1,1148,0.7665952890792291,0.9957173447537473,constrained,0.8472978603872034,113.38583970069885,0.6570972886762361,0.8822269807280514,0.753199268738574,0.42857142857142855,0.4259581881533101,627,467,0.8115578727212847,0.960127591706539,25,0.03987240829346095,1496.0,OPTIMAL
P3,2,1105,0.7724288840262582,0.9956236323851203,top1,,0.0,0.3194570135746606,0.7724288840262582,0.45198463508322656,0.10600706713780919,0.13936651583710408,1105,457,0.17527360031886352,0.42262443438914027,638,0.5773755656108597,,
P3,2,1105,0.7724288840262582,0.9956236323851203,mutual,,0.0,0.5252365930599369,0.7286652078774617,0.61044912923923,0.20848056537102475,0.22895927601809954,634,457,0.4469833387513951,0.6766561514195584,205,0.32334384858044163,,
P3,2,1105,0.7724288840262582,0.9956236323851203,greedy,5.806138481293727,0.0005168914794921875,0.5347222222222222,0.6739606126914661,0.5963213939980638,0.21554770318021202,0.25429864253393664,576,457,0.4248095413277795,0.6805555555555556,184,0.3194444444444444,883.0,
P3,2,1105,0.7724288840262582,0.9956236323851203,loop,5.806138481293727,0.029196977615356445,0.5400763358778626,0.6192560175054704,0.5769622833843018,0.22614840989399293,0.2742081447963801,524,457,0.42756571565727897,0.6889312977099237,163,0.3110687022900763,883.0,
P3,2,1105,0.7724288840262582,0.9956236323851203,path,4.595119850134589,0.7098143100738525,0.4954128440366973,0.4726477024070022,0.48376259798432253,0.3286219081272085,0.27330316742081445,436,457,0.31703370824826305,0.6399082568807339,157,0.36009174311926606,1844.0,
P3,2,1105,0.7724288840262582,0.9956236323851203,bipartite,5.806138481293727,0.025071144104003906,0.533678756476684,0.6761487964989059,0.5965250965250966,0.21908127208480566,0.25429864253393664,579,457,0.4307334324929448,0.6804835924006909,185,0.3195164075993091,883.0,
P3,2,1105,0.7724288840262582,0.9956236323851203,constrained,0.8472978603872034,98.09083485603333,0.7003367003367004,0.9102844638949672,0.7916270218839201,0.5441696113074205,0.5276018099547511,594,457,0.8271397439442163,0.9562289562289562,26,0.043771043771043794,1367.0,OPTIMAL
P4,0,1200,0.5185909980430529,0.9393346379647749,top1,,0.0,0.22083333333333333,0.5185909980430529,0.30976037405026297,0.05828220858895705,0.08583333333333333,1200,511,0.09439420912209379,0.2966666666666667,844,0.7033333333333334,,
P4,0,1200,0.5185909980430529,0.9393346379647749,mutual,,0.0,0.37796610169491524,0.436399217221135,0.405086285195277,0.13190184049079753,0.18,590,511,0.2655480127059913,0.5,295,0.5,,
P4,0,1200,0.5185909980430529,0.9393346379647749,greedy,4.595119850134589,0.0005879402160644531,0.2993710691823899,0.4657534246575342,0.36447166921898927,0.05214723926380368,0.0775,795,511,0.19427300923718327,0.4025157232704403,475,0.5974842767295597,2941.0,
P4,0,1200,0.5185909980430529,0.9393346379647749,loop,4.595119850134589,0.005597352981567383,0.23,0.1350293542074364,0.17016029593094942,0.06441717791411043,0.20416666666666666,300,511,0.09402239750935956,0.3,210,0.7,2941.0,
P4,0,1200,0.5185909980430529,0.9393346379647749,path,4.595119850134589,0.7484652996063232,0.310126582278481,0.2876712328767123,0.2984771573604061,0.18098159509202455,0.17333333333333334,474,511,0.1792638888715037,0.4029535864978903,283,0.5970464135021096,2941.0,
P4,0,1200,0.5185909980430529,0.9393346379647749,bipartite,4.595119850134589,180.04857921600342,0.29865361077111385,0.4774951076320939,0.36746987951807225,0.03987730061349693,0.07083333333333333,817,511,0.194506342417447,0.3990208078335373,491,0.6009791921664627,2941.0,
P4,0,1200,0.5185909980430529,0.9393346379647749,constrained,1.7346010553881064,180.14531588554382,0.6423487544483986,0.7064579256360078,0.6728797763280522,0.34049079754601225,0.38416666666666666,562,511,0.6331439409779895,0.896797153024911,58,0.10320284697508897,1616.0,FEASIBLE
P4,1,1148,0.4989293361884368,0.9357601713062098,top1,,0.0,0.2029616724738676,0.4989293361884368,0.28854489164086683,0.055900621118012424,0.09059233449477352,1148,467,0.11496557565410293,0.28397212543554007,822,0.7160278745644599,,
P4,1,1148,0.4989293361884368,0.9357601713062098,mutual,,0.0,0.3263525305410122,0.4004282655246253,0.3596153846153846,0.11490683229813664,0.16550522648083624,573,467,0.2311425013638077,0.44851657940663175,316,0.5514834205933683,,
