tag,case,seed,n_frag,theta,roll_len_sigma_mm,slips_per_roll,solve_s,status,notch,roll,key,K,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
roll_none,roll_one,0,1200,-0.8472978603872036,0.0,30,180.3697373867035,FEASIBLE,True,True,unit,1,0.6003016591251885,0.7788649706457925,0.6780238500851788,0.34662576687116564,0.3325,663,511,0.6744457616873208,0.8657616892911011,89,0.1342383107088989
roll_none,roll_one,0,1200,0.0,0.0,30,180.42144465446472,FEASIBLE,True,True,unit,1,0.6263910969793323,0.7710371819960861,0.6912280701754385,0.3773006134969325,0.38,629,511,0.67861081052429,0.8918918918918919,68,0.10810810810810811
roll_none,roll_one,0,1200,0.8472978603872034,0.0,30,180.55345487594604,FEASIBLE,True,True,unit,1,0.6458684654300169,0.7495107632093934,0.6938405797101449,0.36809815950920244,0.39166666666666666,593,511,0.6574851411696366,0.9005059021922428,59,0.0994940978077572
roll_none,roll_one,0,1200,1.7346010553881064,0.0,30,180.25280666351318,FEASIBLE,True,True,unit,1,0.6532567049808429,0.6673189823874756,0.6602129719264278,0.3312883435582822,0.385,522,511,0.5942656500601808,0.9099616858237548,47,0.0900383141762452
roll_none,roll_one,0,1200,2.9444389791664394,0.0,30,133.9434118270874,OPTIMAL,True,True,unit,1,0.6867469879518072,0.5577299412915852,0.6155507559395249,0.29754601226993865,0.395,415,511,0.49447937643810513,0.9301204819277108,29,0.0698795180722892
roll_none,roll_one,0,1200,4.595119850134589,0.0,30,46.71157789230347,OPTIMAL,True,True,unit,1,0.7626459143968871,0.3835616438356164,0.5104166666666666,0.20552147239263804,0.37333333333333335,257,511,0.32252279990973637,0.9727626459143969,7,0.027237354085603127
roll_none,roll_one,0,1200,5.806138481293727,0.0,30,24.41281247138977,OPTIMAL,True,True,unit,1,0.7712418300653595,0.2309197651663405,0.35542168674698793,0.10736196319018405,0.335,153,511,0.19163387862480136,0.9934640522875817,1,0.006535947712418277
roll_none,roll_one,0,1200,8.11142803829918,0.0,30,3.1210503578186035,OPTIMAL,True,True,unit,1,0.7368421052631579,0.0547945205479452,0.10200364298724955,0.024539877300613498,0.305,38,511,0.04616231884324696,1.0,0,0.0
roll_none,roll_two,0,1200,-0.8472978603872036,0.0,30,180.7659194469452,FEASIBLE,True,True,unit,2,0.6103500761035008,0.7847358121330724,0.6866438356164385,0.37116564417177916,0.3491666666666667,657,511,0.6854461579880841,0.8736681887366818,83,0.12633181126331816
roll_none,roll_two,0,1200,0.0,0.0,30,180.8070764541626,FEASIBLE,True,True,unit,2,0.6269592476489029,0.7827788649706457,0.6962576153176675,0.3773006134969325,0.37666666666666665,638,511,0.687775563105407,0.8887147335423198,71,0.11128526645768022
roll_none,roll_two,0,1200,0.8472978603872034,0.0,30,180.47553253173828,FEASIBLE,True,True,unit,2,0.6405451448040886,0.735812133072407,0.6848816029143898,0.34662576687116564,0.37833333333333335,587,511,0.6643174736006792,0.9045996592844975,56,0.09540034071550252
roll_none,roll_two,0,1200,1.7346010553881064,0.0,30,180.4758813381195,FEASIBLE,True,True,unit,2,0.6529411764705882,0.6516634050880626,0.6523016650342801,0.3128834355828221,0.37583333333333335,510,511,0.5788815239599483,0.9098039215686274,46,0.09019607843137256
roll_none,roll_two,0,1200,2.9444389791664394,0.0,30,153.66642141342163,OPTIMAL,True,True,unit,2,0.6951501154734411,0.589041095890411,0.6377118644067796,0.31901840490797545,0.4066666666666667,433,511,0.5212800853545848,0.9353348729792148,28,0.0646651270207852
roll_none,roll_two,0,1200,4.595119850134589,0.0,30,48.77799940109253,OPTIMAL,True,True,unit,2,0.7517985611510791,0.4090019569471624,0.5297845373891001,0.22085889570552147,0.37583333333333335,278,511,0.35006259181376653,0.9748201438848921,7,0.025179856115107868
roll_none,roll_two,0,1200,5.806138481293727,0.0,30,26.214314937591553,OPTIMAL,True,True,unit,2,0.7724550898203593,0.25244618395303325,0.38053097345132747,0.12883435582822086,0.345,167,511,0.21316349576913507,0.9940119760479041,1,0.005988023952095856
roll_none,roll_two,0,1200,8.11142803829918,0.0,30,3.636031150817871,OPTIMAL,True,True,unit,2,0.75,0.05870841487279843,0.1088929219600726,0.027607361963190184,0.30666666666666664,40,511,0.04847237461253332,1.0,0,0.0
roll_none,roll_bundle,0,1200,-0.8472978603872036,0.0,30,180.31166410446167,FEASIBLE,True,True,roll,1,0.6157407407407407,0.7808219178082192,0.6885245901639344,0.3773006134969325,0.3566666666666667,648,511,0.7112194208814381,0.8950617283950617,68,0.1049382716049383
roll_none,roll_bundle,0,1200,0.0,0.0,30,180.46034026145935,FEASIBLE,True,True,roll,1,0.6221864951768489,0.7573385518590998,0.6831421006178288,0.35276073619631904,0.3575,622,511,0.6872367848392478,0.8971061093247589,64,0.10289389067524113
roll_none,roll_bundle,0,1200,0.8472978603872034,0.0,30,180.25915455818176,FEASIBLE,True,True,roll,1,0.6613475177304965,0.7299412915851272,0.693953488372093,0.3619631901840491,0.39916666666666667,564,511,0.6544789685710662,0.9202127659574468,45,0.07978723404255317
roll_none,roll_bundle,0,1200,1.7346010553881064,0.0,30,180.28802156448364,FEASIBLE,True,True,roll,1,0.6596958174904943,0.6790606653620352,0.6692381870781099,0.3343558282208589,0.39,526,511,0.610625844098923,0.9220532319391636,41,0.07794676806083645
roll_none,roll_bundle,0,1200,2.9444389791664394,0.0,30,143.74939393997192,OPTIMAL,True,True,roll,1,0.6889952153110048,0.5636007827788649,0.620021528525296,0.294478527607362,0.3933333333333333,418,511,0.49960733527735657,0.9330143540669856,28,0.06698564593301437
roll_none,roll_bundle,0,1200,4.595119850134589,0.0,30,31.493263006210327,OPTIMAL,True,True,roll,1,0.7624521072796935,0.38943248532289626,0.5155440414507771,0.2085889570552147,0.37666666666666665,261,511,0.3302923180737737,0.9770114942528736,6,0.02298850574712641
roll_none,roll_bundle,0,1200,5.806138481293727,0.0,30,13.038614511489868,OPTIMAL,True,True,roll,1,0.7692307692307693,0.23483365949119372,0.3598200899550225,0.11349693251533742,0.33916666666666667,156,511,0.19657229032909312,0.9935897435897436,1,0.0064102564102563875
roll_none,roll_bundle,0,1200,8.11142803829918,0.0,30,1.857800006866455,OPTIMAL,True,True,roll,1,0.7368421052631579,0.0547945205479452,0.10200364298724955,0.027607361963190184,0.30666666666666664,38,511,0.04616231884324696,1.0,0,0.0
roll_none,no_notch,1,1148,-0.8472978603872036,0.0,30,180.28562331199646,FEASIBLE,False,False,unit,1,0.5377906976744186,0.7922912205567452,0.6406926406926406,0.2701863354037267,0.2621951219512195,688,467,0.7011796511601877,0.8241279069767442,121,0.1758720930232558
roll_none,no_notch,1,1148,0.0,0.0,30,180.4264862537384,FEASIBLE,False,False,unit,1,0.5506134969325154,0.7687366167023555,0.6416443252904379,0.2701863354037267,0.2700348432055749,652,467,0.6864022142851994,0.8450920245398773,101,0.1549079754601227
roll_none,no_notch,1,1148,0.8472978603872034,0.0,30,180.182382106781,FEASIBLE,False,False,unit,1,0.5793918918918919,0.734475374732334,0.647780925401322,0.30124223602484473,0.33013937282229966,592,467,0.6575453352460946,0.8699324324324325,77,0.13006756756756754
roll_none,no_notch,1,1148,1.7346010553881064,0.0,30,67.67880082130432,OPTIMAL,False,False,unit,1,0.6071428571428571,0.6916488222698073,0.6466466466466466,0.32298136645962733,0.3641114982578397,532,467,0.6114621338421671,0.8890977443609023,59,0.11090225563909772
roll_none,no_notch,1,1148,2.9444389791664394,0.0,30,1.110245704650879,OPTIMAL,False,False,unit,1,0.6472019464720195,0.569593147751606,0.6059225512528473,0.3136645962732919,0.40418118466898956,411,467,0.511077053250762,0.9148418491484185,35,0.08515815085158152
roll_none,no_notch,1,1148,4.595119850134589,0.0,30,0.42661237716674805,OPTIMAL,False,False,unit,1,0.7042801556420234,0.3875802997858672,0.5,0.2484472049689441,0.3998257839721254,257,467,0.35531058751864364,0.9610894941634242,10,0.03891050583657585
roll_none,no_notch,1,1148,5.806138481293727,0.0,30,0.3391408920288086,OPTIMAL,False,False,unit,1,0.7391304347826086,0.25481798715203424,0.3789808917197452,0.17391304347826086,0.3702090592334495,161,467,0.2102083305545293,0.9813664596273292,3,0.018633540372670843
roll_none,no_notch,1,1148,8.11142803829918,0.0,30,0.17539548873901367,OPTIMAL,False,False,unit,1,0.7380952380952381,0.06638115631691649,0.12180746561886051,0.043478260869565216,0.3240418118466899,42,467,0.0549286120811885,1.0,0,0.0
roll_none,notch,1,1148,-0.8472978603872036,0.0,30,180.6151134967804,FEASIBLE,True,False,unit,1,0.5784615384615385,0.8051391862955032,0.6732318710832588,0.35093167701863354,0.3423344947735192,650,467,0.7276912769961978,0.8707692307692307,84,0.12923076923076926
roll_none,notch,1,1148,0.0,0.0,30,180.46529579162598,FEASIBLE,True,False,unit,1,0.5834683954619124,0.7708779443254818,0.6642066420664207,0.32298136645962733,0.3318815331010453,617,467,0.7096580275165015,0.8897893030794165,68,0.1102106969205835
roll_none,notch,1,1148,0.8472978603872034,0.0,30,180.18268942832947,FEASIBLE,True,False,unit,1,0.6164874551971327,0.7366167023554604,0.671219512195122,0.3385093167701863,0.37456445993031356,558,467,0.6616719087116368,0.9086021505376344,51,0.09139784946236562
roll_none,notch,1,1148,1.7346010553881064,0.0,30,65.83285856246948,OPTIMAL,True,False,unit,1,0.6452905811623246,0.6895074946466809,0.6666666666666667,0.36335403726708076,0.4172473867595819,499,467,0.6134254381682543,0.9318637274549099,34,0.06813627254509014
roll_none,notch,1,1148,2.9444389791664394,0.0,30,6.748321771621704,OPTIMAL,True,False,unit,1,0.6847545219638242,0.5674518201284796,0.6206088992974238,0.3385093167701863,0.43118466898954705,387,467,0.5045416280164998,0.9483204134366925,20,0.05167958656330751
roll_none,notch,1,1148,4.595119850134589,0.0,30,2.316661834716797,OPTIMAL,True,False,unit,1,0.7283950617283951,0.37901498929336186,0.4985915492957747,0.2453416149068323,0.40505226480836237,243,467,0.34484383574062344,0.9876543209876543,3,0.012345679012345734
roll_none,notch,1,1148,5.806138481293727,0.0,30,0.635321855545044,OPTIMAL,True,False,unit,1,0.7564102564102564,0.25267665952890794,0.37881219903691815,0.17391304347826086,0.37456445993031356,156,467,0.20627682030692746,1.0,0,0.0
roll_none,notch,1,1148,8.11142803829918,0.0,30,0.4720790386199951,OPTIMAL,True,False,unit,1,0.7380952380952381,0.06638115631691649,0.12180746561886051,0.043478260869565216,0.3240418118466899,42,467,0.0549286120811885,1.0,0,0.0
roll_none,roll_one,1,1148,-0.8472978603872036,0.0,30,180.26478362083435,FEASIBLE,True,True,unit,1,0.5595611285266457,0.7644539614561028,0.6461538461538461,0.30745341614906835,0.30139372822299654,638,467,0.7226865990418744,0.8730407523510971,81,0.12695924764890287
roll_none,roll_one,1,1148,0.0,0.0,30,180.21675753593445,FEASIBLE,True,True,unit,1,0.5791304347826087,0.7130620985010707,0.6391554702495202,0.27639751552795033,0.3118466898954704,575,467,0.6901912742992871,0.8869565217391304,65,0.11304347826086958
