source,fragments
reconstructed,3
reconstructed,1
reconstructed,5
reconstructed,3
reconstructed,1
reconstructed,3
reconstructed,3
reconstructed,2
reconstructed,3
reconstructed,3
reconstructed,2
reconstructed,2
reconstructed,2
reconstructed,1
reconstructed,2
reconstructed,2
reconstructed,1
reconstructed,1
reconstructed,4
reconstructed,2
reconstructed,3
reconstructed,2
reconstructed,3
reconstructed,1
reconstructed,2
reconstructed,3
reconstructed,6
reconstructed,2
reconstructed,3
reconstructed,1
reconstructed,2
reconstructed,3
reconstructed,2
reconstructed,3
reconstructed,3
reconstructed,1
reconstructed,3
reconstructed,2
reconstructed,4
reconstructed,5
reconstructed,2
reconstructed,1
reconstructed,3
reconstructed,3
reconstructed,6
reconstructed,3
reconstructed,2
reconstructed,2
reconstructed,4
reconstructed,5
reconstructed,2
reconstructed,1
reconstructed,4
reconstructed,2
reconstructed,1
reconstructed,1
reconstructed,1
reconstructed,3
reconstructed,5
reconstructed,1
reconstructed,6
reconstructed,2
reconstructed,4
reconstructed,2
reconstructed,1
reconstructed,1
reconstructed,3
reconstructed,2
reconstructed,2
reconstructed,3
reconstructed,3
reconstructed,1
reconstructed,2
reconstructed,1
reconstructed,1
reconstructed,2
reconstructed,1
reconstructed,4
reconstructed,4
reconstructed,1
reconstructed,3
reconstructed,2
reconstructed,3
reconstructed,4
reconstructed,2
reconstructed,1
reconstructed,1
reconstructed,1
reconstructed,3
reconstructed,3
reconstructed,3
reconstructed,3
reconstructed,2
reconstructed,3
reconstructed,1
reconstructed,3
reconstructed,3
reconstructed,2
reconstructed,2
reconstructed,1
reconstructed,1
reconstructed,3
reconstructed,3
reconstructed,1
reconstructed,4
reconstructed,3
reconstructed,2
reconstructed,2
reconstructed,3
reconstructed,2
reconstructed,3
reconstructed,4
reconstructed,1
reconstructed,3
reconstructed,4
reconstructed,1
reconstructed,2
reconstructed,2
reconstructed,3
reconstructed,3
reconstructed,1
reconstructed,4
reconstructed,2
reconstructed,2
reconstructed,1
reconstructed,3
reconstructed,3
reconstructed,3
reconstructed,4
reconstructed,6
reconstructed,1
reconstructed,3
reconstructed,3
reconstructed,2
reconstructed,2
reconstructed,3
reconstructed,4
reconstructed,1
reconstructed,2
reconstructed,6
reconstructed,1
reconstructed,3
reconstructed,3
reconstructed,3
reconstructed,1
reconstructed,4
reconstructed,2
reconstructed,4
reconstructed,1
reconstructed,3
reconstructed,1
reconstructed,2
reconstructed,2
reconstructed,2
reconstructed,3
reconstructed,2
reconstructed,2
