tag,method,seed,n_frag,disperse_sigma_mm,block_mm,unit_known_frac,unit_error_frac,coherence,radius,theta,n_arcs,arc_recall,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
sigma,context_hard,0,1200,60.0,250.0,1.0,0.0,0.4735812133072407,1,0.8472978603872034,890,0.4324853228962818,13.760940074920654,OPTIMAL,0.6054216867469879,0.3933463796477495,0.47686832740213525,0.18098159509202455,0.31833333333333336,332,511,0.3628318499715655,0.8674698795180723,44,0.1325301204819277
sigma,context_soft,0,1200,60.0,250.0,1.0,0.0,0.4735812133072407,1,0.8472978603872034,2541,0.8708414872798435,180.5498354434967,FEASIBLE,0.6136363636363636,0.7397260273972602,0.670807453416149,0.3374233128834356,0.3566666666666667,616,511,0.6467154216033009,0.8587662337662337,87,0.14123376623376627
sigma,context_hard,1,1148,60.0,250.0,1.0,0.0,0.4925053533190578,1,0.8472978603872034,876,0.4282655246252677,5.266092538833618,OPTIMAL,0.5164179104477612,0.37044967880085655,0.4314214463840399,0.16459627329192547,0.30226480836236935,335,467,0.3856064410401297,0.8417910447761194,53,0.15820895522388057
sigma,context_soft,1,1148,60.0,250.0,1.0,0.0,0.4925053533190578,1,0.8472978603872034,2356,0.8565310492505354,180.32430052757263,FEASIBLE,0.5929203539823009,0.7173447537473233,0.6492248062015504,0.3198757763975155,0.34581881533101044,565,467,0.643822766651093,0.8884955752212389,63,0.1115044247787611
sigma,context_hard,2,1105,60.0,250.0,1.0,0.0,0.4420131291028446,1,0.8472978603872034,743,0.40043763676148797,5.3087263107299805,OPTIMAL,0.5709342560553633,0.3610503282275711,0.44235924932975873,0.1625441696113074,0.31131221719457014,289,457,0.3715971181838277,0.8304498269896193,49,0.16955017301038067
sigma,context_soft,2,1105,60.0,250.0,1.0,0.0,0.4420131291028446,1,0.8472978603872034,2229,0.8774617067833698,180.32108736038208,FEASIBLE,0.6373626373626373,0.7614879649890591,0.6939182452642074,0.4204946996466431,0.42081447963800905,546,457,0.6800656103521903,0.8772893772893773,67,0.12271062271062272
sigma,context_hard,0,1200,120.0,250.0,1.0,0.0,0.25440313111545987,2,2.9444389791664394,245,0.2054794520547945,1.5481717586517334,OPTIMAL,0.664179104477612,0.17416829745596868,0.27596899224806204,0.10122699386503067,0.325,134,511,0.14468946951861164,0.8955223880597015,14,0.10447761194029848
sigma,context_soft,0,1200,120.0,250.0,1.0,0.0,0.25440313111545987,2,0.0,6022,0.9158512720156555,180.4833779335022,FEASIBLE,0.5621301775147929,0.7436399217221135,0.6402695871946082,0.3343558282208589,0.31583333333333335,676,511,0.6204907858041379,0.7914201183431953,141,0.20857988165680474
sigma,context_hard,1,1148,120.0,250.0,1.0,0.0,0.22483940042826553,2,2.9444389791664394,230,0.1670235546038544,1.8630471229553223,OPTIMAL,0.5862068965517241,0.145610278372591,0.23327615780445968,0.07763975155279502,0.31881533101045295,116,467,0.13749608776546168,0.8879310344827587,13,0.11206896551724133
sigma,context_soft,1,1148,120.0,250.0,1.0,0.0,0.22483940042826553,2,0.0,5434,0.8736616702355461,181.47245621681213,FEASIBLE,0.5388349514563107,0.7130620985010707,0.6138248847926268,0.30434782608695654,0.3057491289198606,618,467,0.6437588602352797,0.813915857605178,115,0.18608414239482196
sigma,context_hard,2,1105,120.0,250.0,1.0,0.0,0.24945295404814005,2,2.9444389791664394,234,0.1838074398249453,1.4268934726715088,OPTIMAL,0.6016949152542372,0.15536105032822758,0.24695652173913044,0.09187279151943463,0.3429864253393665,118,457,0.1646129779061911,0.8813559322033898,14,0.11864406779661019
sigma,context_soft,2,1105,120.0,250.0,1.0,0.0,0.24945295404814005,2,0.0,5106,0.9102844638949672,180.45187330245972,FEASIBLE,0.5570934256055363,0.7045951859956237,0.6222222222222222,0.38162544169611307,0.36561085972850677,578,457,0.6058543366322697,0.7854671280276817,124,0.2145328719723183
