state,seed,method,theta,n_frag,status,solve_s,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
P3,0,latent,-0.8472978603872036,1200,FEASIBLE,120.22923827171326,0.6602475928473177,0.9393346379647749,0.7754442649434572,0.46319018404907975,0.4225,727,511,0.8491389758428878,0.953232462173315,34,0.04676753782668497
P3,0,latent,0.0,1200,FEASIBLE,120.21715188026428,0.6704545454545454,0.923679060665362,0.776954732510288,0.4723926380368098,0.43916666666666665,704,511,0.829524780447916,0.9602272727272727,28,0.03977272727272729
P3,0,latent,0.8472978603872034,1200,OPTIMAL,75.78445863723755,0.6795252225519288,0.8962818003913894,0.7729957805907174,0.4815950920245399,0.4558333333333333,674,511,0.8017036801773558,0.956973293768546,29,0.04302670623145399
P3,0,latent,1.7346010553881064,1200,OPTIMAL,9.973222732543945,0.6866141732283465,0.8532289628180039,0.7609075043630018,0.4539877300613497,0.4475,635,511,0.7741476637641276,0.9669291338582677,21,0.03307086614173227
P3,0,latent,2.9444389791664394,1200,OPTIMAL,2.2151942253112793,0.7110726643598616,0.8043052837573386,0.7548209366391185,0.4539877300613497,0.4608333333333333,578,511,0.7127040265548905,0.9792387543252595,12,0.02076124567474047
P3,0,latent,4.595119850134589,1200,OPTIMAL,1.1572678089141846,0.7340425531914894,0.675146771037182,0.7033639143730887,0.3834355828220859,0.44083333333333335,470,511,0.5984270861971166,0.9851063829787234,7,0.014893617021276562
P3,0,latent,5.806138481293727,1200,OPTIMAL,0.6642532348632812,0.7506493506493507,0.5655577299412916,0.6450892857142857,0.3343558282208589,0.43666666666666665,385,511,0.5068867293652812,0.9948051948051948,2,0.0051948051948051965
P3,0,latent,8.11142803829918,1200,OPTIMAL,0.5709288120269775,0.7945945945945946,0.2876712328767123,0.4224137931034483,0.17177914110429449,0.37083333333333335,185,511,0.23714529717572377,1.0,0,0.0
P4,0,full,-2.197224577336219,1200,FEASIBLE,120.22064161300659,0.5043804755944932,0.7886497064579256,0.6152671755725192,0.2668711656441718,0.22583333333333333,799,511,0.6168348527249778,0.7434292866082604,205,0.25657071339173965
P4,0,full,-1.3862943611198906,1200,FEASIBLE,120.16506052017212,0.5227848101265823,0.8082191780821918,0.6348962336664105,0.2852760736196319,0.245,790,511,0.653183936668257,0.7632911392405063,187,0.2367088607594937
P4,0,full,-0.8472978603872036,1200,FEASIBLE,120.15399980545044,0.5391527599486521,0.821917808219178,0.6511627906976744,0.3343558282208589,0.29333333333333333,779,511,0.6506516037904733,0.7804878048780488,171,0.2195121951219512
P4,0,full,0.0,1200,FEASIBLE,120.14600729942322,0.547244094488189,0.8160469667318982,0.6551453260015712,0.3220858895705521,0.2891666666666667,762,511,0.6622896331175445,0.7887139107611548,161,0.21128608923884518
P4,0,full,0.8472978603872034,1200,FEASIBLE,120.1496319770813,0.5599455040871935,0.8043052837573386,0.6602409638554216,0.3282208588957055,0.30583333333333335,734,511,0.66951503986981,0.8051771117166212,143,0.1948228882833788
