tag,state,seed,n_frag,n_true_joins,top1,top5,top50,coherence,method,theta,theta_at_edge,solve_s,status,n_arcs,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
ablation,P3,1,1148,467,0.7665952890792291,0.9207708779443254,0.9957173447537473,0.6616702355460385,no_length,1.7346010553881064,False,1.924764633178711,OPTIMAL,1154,0.622848200312989,0.8522483940042827,0.7197106690777577,0.36645962732919257,0.39198606271777003,639,467,0.7133321953957765,0.9061032863849765,60,0.0938967136150235
ablation,P3,1,1148,467,0.7665952890792291,0.9207708779443254,0.9957173447537473,0.6616702355460385,no_notch,-2.197224577336219,True,180.4116952419281,FEASIBLE,4684,0.5969738651994498,0.9293361884368309,0.7269681742043551,0.35093167701863354,0.32752613240418116,727,467,0.8446419694341326,0.9092159559834938,66,0.0907840440165062
ablation,P3,1,1148,467,0.7665952890792291,0.9207708779443254,0.9957173447537473,0.6616702355460385,no_width,0.0,False,180.22491097450256,FEASIBLE,3547,0.6392215568862275,0.9143468950749465,0.7524229074889867,0.40993788819875776,0.39198606271777003,668,467,0.8414715433166846,0.9446107784431138,37,0.05538922155688619
ablation,P3,1,1148,467,0.7665952890792291,0.9207708779443254,0.9957173447537473,0.6616702355460385,no_strat,0.0,False,180.34594917297363,FEASIBLE,12287,0.5353982300884956,0.7773019271948608,0.634061135371179,0.2981366459627329,0.2665505226480836,678,467,0.62017590813754,0.7699115044247787,156,0.23008849557522126
ablation,P3,1,1148,467,0.7665952890792291,0.9207708779443254,0.9957173447537473,0.6616702355460385,no_hand,1.7346010553881064,False,5.930348873138428,OPTIMAL,1084,0.6562009419152276,0.8950749464668094,0.7572463768115941,0.4440993788819876,0.43205574912891986,637,467,0.7909894910337467,0.9372056514913658,40,0.06279434850863419
ablation,P3,1,1148,467,0.7665952890792291,0.9207708779443254,0.9957173447537473,0.6616702355460385,full,0.8472978603872034,False,5.456133842468262,OPTIMAL,1434,0.6209912536443148,0.9122055674518201,0.7389418907198613,0.40372670807453415,0.37717770034843207,686,467,0.8240170071386054,0.922740524781341,53,0.07725947521865895
ablation,P3,1,1148,467,0.7665952890792291,0.9207708779443254,0.9957173447537473,0.6616702355460385,full_no_notch,0.0,False,2.450249195098877,OPTIMAL,1928,0.5988857938718662,0.9207708779443254,0.7257383966244725,0.38819875776397517,0.35714285714285715,718,467,0.8134813173433346,0.8997214484679665,72,0.10027855153203347
ablation,P3,1,1148,467,0.7665952890792291,0.9207708779443254,0.9957173447537473,0.6616702355460385,full_no_hand,-2.197224577336219,True,180.18767476081848,FEASIBLE,4684,0.5714285714285714,0.9079229122055674,0.7014061207609594,0.32919254658385094,0.3083623693379791,742,467,0.737539966317641,0.8450134770889488,115,0.1549865229110512
ablation,P3,2,1105,457,0.7724288840262582,0.9299781181619255,0.9956236323851203,0.6039387308533917,latent,0.0,False,125.17317843437195,OPTIMAL,1852,0.6918032786885245,0.9234135667396062,0.7910028116213683,0.5441696113074205,0.5221719457013575,610,457,0.8407416060367803,0.9524590163934427,29,0.04754098360655734
ablation,P3,2,1105,457,0.7724288840262582,0.9299781181619255,0.9956236323851203,0.6039387308533917,no_length,1.7346010553881064,False,2.768625259399414,OPTIMAL,1065,0.6672131147540984,0.8905908096280087,0.7628865979381444,0.45936395759717313,0.4642533936651584,610,457,0.7505992312623264,0.9131147540983606,53,0.08688524590163937
