part,level,seed,method,n_frag,top1,top50,solve_s,status,coherence,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,mix
misspecification,0.75,1,constrained,1388,0.41865509761388287,0.89587852494577,180.25631999969482,FEASIBLE,0.665943600867679,0.456198347107438,0.5986984815618221,0.5178236397748593,0.22429906542056074,0.31628242074927954,605,461,0.4235029319564102,0.7834710743801653,131,0.21652892561983472,
misspecification,0.75,1,bipartite,1388,0.41865509761388287,0.89587852494577,180.1123242378235,FEASIBLE,0.665943600867679,0.17311608961303462,0.368763557483731,0.23562023562023565,0.021806853582554516,0.0569164265129683,982,461,0.09875518283878469,0.24643584521384929,740,0.7535641547861507,
misspecification,0.75,2,constrained,1391,0.36,0.8941176470588236,180.3311505317688,FEASIBLE,0.6870588235294117,0.44873949579831934,0.6282352941176471,0.5235294117647059,0.3230240549828179,0.38245866283249463,595,425,0.3978030923424505,0.7563025210084033,145,0.24369747899159666,
misspecification,0.75,2,bipartite,1391,0.36,0.8941176470588236,180.89402413368225,FEASIBLE,0.6870588235294117,0.14566115702479338,0.33176470588235296,0.2024407753050969,0.024054982817869417,0.0603882099209202,968,425,0.0905197319270674,0.2190082644628099,756,0.78099173553719,
misspecification,1.0,0,constrained,1449,0.33080808080808083,0.8661616161616161,180.60545206069946,FEASIBLE,0.6792929292929293,0.3853503184713376,0.6111111111111112,0.47265625000000006,0.23793103448275862,0.33747412008281574,628,396,0.37270995872551604,0.714968152866242,179,0.28503184713375795,
misspecification,1.0,0,bipartite,1449,0.33080808080808083,0.8661616161616161,180.24253940582275,FEASIBLE,0.6792929292929293,0.11251212415130941,0.29292929292929293,0.16257883672039244,0.020689655172413793,0.060041407867494824,1031,396,0.06705654290179452,0.1697381183317168,856,0.8302618816682832,
misspecification,1.0,1,constrained,1442,0.3057644110275689,0.8421052631578947,180.38529920578003,FEASIBLE,0.7243107769423559,0.3739565943238731,0.5614035087719298,0.44889779559118237,0.22895622895622897,0.33079056865464634,599,399,0.3677717259259326,0.7195325542570952,168,0.28046744574290483,
misspecification,1.0,1,bipartite,1442,0.3057644110275689,0.8421052631578947,180.28188800811768,FEASIBLE,0.7243107769423559,0.10810810810810811,0.2807017543859649,0.15609756097560976,0.010101010101010102,0.049237170596393896,1036,399,0.06645397311290639,0.16988416988416988,860,0.8301158301158301,
misspecification,1.0,2,constrained,1428,0.36515513126491644,0.863961813842482,180.48470664024353,FEASIBLE,0.6730310262529833,0.4440677966101695,0.6252983293556086,0.5193260654112982,0.31493506493506496,0.3900560224089636,590,419,0.38532353887987963,0.7542372881355932,145,0.2457627118644068,
misspecification,1.0,2,bipartite,1428,0.36515513126491644,0.863961813842482,180.27668571472168,FEASIBLE,0.6730310262529833,0.14512922465208747,0.34844868735083534,0.20491228070175438,0.032467532467532464,0.06792717086834733,1006,419,0.08393734961578546,0.2147117296222664,790,0.7852882703777336,
